Trial, Array Size, Time Elapsed
1,100,0
2,200,0
3,300,0
4,400,0
5,500,0
6,600,0
7,700,0
8,800,0
9,900,0
10,1000,0
11,1100,0
12,1200,0
13,1300,0
14,1400,0
15,1500,0
16,1600,0
17,1700,0
18,1800,0
19,1900,0
20,2000,0
21,2100,0
22,2200,0
23,2300,1
24,2400,0
25,2500,0
26,2600,1
27,2700,0
28,2800,0
29,2900,0
30,3000,0
31,3100,0
32,3200,1
33,3300,0
34,3400,1
35,3500,0
36,3600,0
37,3700,0
38,3800,0
39,3900,1
40,4000,0
41,4100,0
42,4200,1
43,4300,0
44,4400,0
45,4500,0
46,4600,0
47,4700,1
48,4800,1
49,4900,0
50,5000,0
51,5100,1
52,5200,0
53,5300,0
54,5400,1
55,5500,0
56,5600,0
57,5700,1
58,5800,0
59,5900,0
60,6000,1
61,6100,1
62,6200,0
63,6300,0
64,6400,1
65,6500,1
66,6600,0
67,6700,0
68,6800,1
69,6900,1
70,7000,0
71,7100,0
72,7200,1
73,7300,1
74,7400,0
75,7500,0
76,7600,1
77,7700,1
78,7800,1
79,7900,0
80,8000,0
81,8100,0
82,8200,0
83,8300,0
84,8400,0
85,8500,1
86,8600,1
87,8700,1
88,8800,1
89,8900,1
90,9000,1
91,9100,1
92,9200,1
93,9300,1
94,9400,1
95,9500,1
96,9600,1
97,9700,1
98,9800,1
99,9900,1
100,10000,1
101,10100,1
102,10200,0
103,10300,0
104,10400,1
105,10500,1
106,10600,1
107,10700,1
108,10800,1
109,10900,1
110,11000,0
111,11100,0
112,11200,0
113,11300,1
114,11400,1
115,11500,1
116,11600,1
117,11700,1
118,11800,1
119,11900,1
120,12000,0
121,12100,1
122,12200,1
123,12300,1
124,12400,1
125,12500,1
126,12600,0
127,12700,1
128,12800,2
129,12900,1
130,13000,1
131,13100,1
132,13200,1
133,13300,1
134,13400,1
135,13500,1
136,13600,1
137,13700,2
138,13800,1
139,13900,0
140,14000,1
141,14100,1
142,14200,1
143,14300,1
144,14400,1
145,14500,1
146,14600,1
147,14700,1
148,14800,1
149,14900,1
150,15000,1
151,15100,2
152,15200,1
153,15300,1
154,15400,1
155,15500,1
156,15600,1
157,15700,1
158,15800,1
159,15900,2
160,16000,1
161,16100,1
162,16200,1
163,16300,1
164,16400,1
165,16500,1
166,16600,1
167,16700,2
168,16800,1
169,16900,1
170,17000,1
171,17100,2
172,17200,2
173,17300,1
174,17400,1
175,17500,1
176,17600,1
177,17700,1
178,17800,2
179,17900,1
180,18000,1
181,18100,1
182,18200,1
183,18300,1
184,18400,1
185,18500,1
186,18600,1
187,18700,1
188,18800,2
189,18900,1
190,19000,1
191,19100,1
192,19200,1
193,19300,1
194,19400,1
195,19500,1
196,19600,1
197,19700,1
198,19800,2
199,19900,2
200,20000,2
201,20100,2
202,20200,1
203,20300,1
204,20400,1
205,20500,1
206,20600,2
207,20700,2
208,20800,2
209,20900,1
210,21000,1
211,21100,2
212,21200,1
213,21300,2
214,21400,2
215,21500,1
216,21600,1
217,21700,2
218,21800,2
219,21900,1
220,22000,2
221,22100,2
222,22200,2
223,22300,2
224,22400,1
225,22500,2
226,22600,1
227,22700,2
228,22800,2
229,22900,1
230,23000,2
231,23100,1
232,23200,2
233,23300,1
234,23400,2
235,23500,1
236,23600,2
237,23700,1
238,23800,2
239,23900,2
240,24000,2
241,24100,2
242,24200,1
243,24300,2
244,24400,1
245,24500,2
246,24600,2
247,24700,2
248,24800,2
249,24900,2
250,25000,3
251,25100,2
252,25200,2
253,25300,2
254,25400,2
255,25500,1
256,25600,2
257,25700,1
258,25800,2
259,25900,2
260,26000,3
261,26100,2
262,26200,2
263,26300,2
264,26400,2
